country_name,population,yearly_change,net_change,density,land_area,migrants,fertility_rate,median_age,urban_population_percentage,world_share_percentage
Martinique,337711,−0.8,−2728,319,1060,−2264,1.95,50.2,–,0.0041
French Guiana,318872,1.66,5206,4,82200,−765,3.25,24.9,95.2,0.0038
New Caledonia,297892,0.87,2559,16,18280,348,1.93,34.8,76.3,0.0036
French Polynesia,283076,0.22,611,77,3660,−1158,1.47,36.7,66.3,0.0034
Barbados,282724,0.04,101,657,430,−98,1.71,39.7,32.7,0.0034
Sao Tome & Principe,244994,1.97,4740,255,960,−691,3.47,19.7,78.9,0.0030
Samoa,220528,0.56,1222,78,2830,−2792,3.7,19.8,16.3,0.0027
Curaçao,185440,−0.03,−47,418,444,462,1.07,39,81.2,0.0022
Saint Lucia,180488,0.19,339,296,610,−49,1.37,35.1,20.1,0.0022
Guam,170185,0.7,1186,315,540,−471,2.68,31.6,98.9,0.0021
Kiribati,138445,1.43,1957,171,810,−441,3.06,23,57.9,0.0017
Seychelles,134959,1.64,2180,293,460,1367,2.06,34.6,43.4,0.0016
Grenada,117362,0.05,59,345,340,−199,1.45,34.9,35.8,0.0014
Micronesia,114183,0.44,500,163,700,−1121,2.67,23.5,23.8,0.0014
Aruba,108164,0.02,17,601,180,73,1.6,41.7,45.1,0.0013
Tonga,103291,−0.43,−451,143,720,−2117,3.04,21,26.4,0.0012
St. Vincent & Grenadines,99245,−0.68,−679,254,390,−671,1.73,34.7,62.6,0.0012
Antigua and Barbuda,94626,0.44,417,215,440,−2,1.57,36.7,28.6,0.0011
Isle of Man,84055,−0.07,−63,147,570,158,1.53,46.3,57.3,0.0010
Andorra,83753,1.02,849,178,470,751,1.1,44.2,81.6,0.0010
U.S. Virgin Islands,83400,−0.88,−738,238,350,−360,2.05,44.9,–,0.0010
Cayman Islands,77196,1.78,1352,322,240,888,1.5,39.1,88.5,0.00093
Dominica,65511,−0.55,−360,87,750,−241,1.46,36.6,85.6,0.00079
Bermuda,64459,−0.15,−96,"1,289",50,−9,1.42,46.4,93,0.00078
Faeroe Islands,56526,0.94,524,40,1396,311,2.19,37.1,39.5,0.00068
Greenland,55629,−0.21,−116,0,410450,−249,1.9,35.5,91.2,0.00067
Turks and Caicos,47148,0.63,293,50,950,151,1.43,39.6,80,0.00057
Saint Kitts & Nevis,46992,0.15,70,181,260,11,1.5,36.5,39.8,0.00057
American Samoa,45319,−1.54,−710,227,200,−1004,2.22,29.1,–,0.00055
Sint Maarten,44447,1.19,524,"1,307",34,485,1.42,42,99.6,0.00054
Northern Mariana Islands,42914,−1.44,−627,93,460,−790,2.24,38.8,–,0.00052
Gibraltar,40867,1.85,741,"4,087",10,480,1.88,38.8,87.1,0.00049
Liechtenstein,40368,0.6,240,252,160,193,1.54,44.7,14.8,0.00049
British Virgin Islands,39936,0.51,204,266,150,105,1.06,39.1,43.9,0.00048
Monaco,38087,−0.66,−254,"25,562",1,106,2.08,53.1,–,0.00046
Marshall Islands,35075,−3.33,−1207,195,180,−1575,2.77,20.5,–,0.00042
San Marino,33605,0.1,33,560,60,127,1.17,49.1,–,0.00040
Caribbean Netherlands,31913,1.83,575,97,328,509,1.44,39.7,64.9,0.00038
Saint Martin,23898,−4.18,−1043,451,53,−1034,2.59,43.9,–,0.00029
Palau,17614,−0.28,−49,38,460,−22,1.84,38.9,–,0.00021
Anguilla,14817,0.6,89,165,90,33,1.34,39.1,–,0.00018
Cook Islands,12826,−3.29,−437,53,240,−419,1.98,38.1,–,0.00015
Nauru,12101,0.63,76,605,20,−111,3.21,20.2,93.8,0.00015
Saint Barthelemy,11550,1.19,136,550,21,143,0.84,39.1,–,0.00014
Wallis & Futuna,11113,−0.72,−81,79,140,−80,1.39,38.6,–,0.00013
Tuvalu,9362,−1.37,−130,312,30,−225,3.1,24.1,89,0.00011
Saint Pierre & Miquelon,5513,−1.09,−61,24,230,−9,1.28,47.6,–,0.000066
Saint Helena,5147,−0.96,−50,13,390,0,1.64,51,34.1,0.000062
Montserrat,4328,−0.71,−31,43,100,−10,1.45,41.8,11.7,0.000052
Falkland Islands,3465,−0.12,−4,0,12170,−16,1.69,43.4,68.4,0.000042
Tokelau,2691,3.18,83,269,10,43,2.54,27.6,–,0.000032
Niue,1822,0.05,1,7,260,2,2.44,35.1,45.2,0.000022
Holy See,506,1,5,"1,265",0,13,1,56.2,–,0.0000061
