country,population,yearly_change,net_change,density,land_area,migrants,fert_rate,med_age,urban_pop,world_share
Timor-Leste,"1,436,923",1.3%,"18,406",97,"14,870","−1,695",155,155,36.7%,0.017%
Cyprus,"1,382,334",0.84%,"11,580",150,"9,240","7,210",156,156,61.1%,0.017%
Estonia,"1,331,062",−0.98%,"−13,170",31,"42,390",−716,157,157,67.5%,0.016%
Eswatini,"1,269,859",1.09%,"13,685",74,"17,200","−5,493",158,158,31.7%,0.015%
Mauritius,"1,265,059",−0.25%,"−3,221",623,"2,030","−2,679",159,159,41.8%,0.015%
Djibouti,"1,199,459",1.3%,"15,383",52,"23,180",302,160,160,71.4%,0.014%
Fiji,"937,282",0.44%,"4,128",51,"18,270","−3,385",161,161,61.3%,0.011%
Comoros,"899,010",1.83%,"16,163",483,"1,861","−2,225",162,162,34%,0.011%
Réunion,"886,298",0.44%,"3,893",355,"2,500","−2,079",163,163,–,0.011%
Solomon Islands,"858,288",2.34%,"19,643",31,"27,990","1,570",164,164,23%,0.010%
Guyana,"840,890",0.59%,"4,904",4,"196,850","−4,787",165,165,26.8%,0.010%
Bhutan,"802,214",0.69%,"5,532",21,"38,117",633,166,166,51.1%,0.0097%
Macao,"723,188",0.16%,"1,181","24,106",30,826,167,167,98.3%,0.0087%
Luxembourg,"687,448",1.03%,"6,995",265,"2,590","4,938",168,168,87.4%,0.0083%
Suriname,"645,256",0.84%,"5,406",4,"156,000",−965,169,169,62.4%,0.0078%
Montenegro,"626,233",−1.03%,"−6,496",47,"13,450","−2,824",170,170,69.7%,0.0075%
Western Sahara,"610,813",1.65%,"9,909",2,"266,000","4,689",171,171,97.6%,0.0074%
Malta,"549,011",0.66%,"3,606","1,716",320,"2,157",172,172,76.2%,0.0066%
Maldives,"531,517",0.35%,"1,841","1,772",300,"−2,079",173,173,40.3%,0.0064%
Cabo Verde,"529,630",0.44%,"2,304",131,"4,030","−1,338",174,174,79.6%,0.0064%
Brunei,"469,775",0.74%,"3,445",89,"5,270",8,175,175,80.6%,0.0057%
Belize,"428,644",1.35%,"5,720",19,"22,810",392,176,176,49%,0.0052%
Bahamas,"404,628",0.4%,"1,595",40,"10,010",902,177,177,88.9%,0.0049%
Iceland,"402,329",1.02%,"4,063",4,"100,250","2,027",178,178,83.7%,0.0048%
Guadeloupe,"372,453",−0.36%,"−1,338",220,"1,690","−1,442",179,179,–,0.0045%
Mayotte,"347,536",3.12%,"10,525",927,375,−2,180,180,41.1%,0.0042%
Vanuatu,"342,564",2.21%,"7,395",28,"12,190",−113,181,181,25.5%,0.0041%
Martinique,"337,711",−0.8%,"−2,728",319,"1,060","−2,264",182,182,–,0.0041%
French Guiana,"318,872",1.66%,"5,206",4,"82,200",−765,183,183,95.2%,0.0038%
New Caledonia,"297,892",0.87%,"2,559",16,"18,280",348,184,184,76.3%,0.0036%
French Polynesia,"283,076",0.22%,611,77,"3,660","−1,158",185,185,66.3%,0.0034%
Barbados,"282,724",0.04%,101,657,430,−98,186,186,32.7%,0.0034%
Sao Tome & Principe,"244,994",1.97%,"4,740",255,960,−691,187,187,78.9%,0.0030%
Samoa,"220,528",0.56%,"1,222",78,"2,830","−2,792",188,188,16.3%,0.0027%
Curaçao,"185,440",−0.03%,−47,418,444,462,189,189,81.2%,0.0022%
Saint Lucia,"180,488",0.19%,339,296,610,−49,190,190,20.1%,0.0022%
Guam,"170,185",0.7%,"1,186",315,540,−471,191,191,98.9%,0.0021%
Kiribati,"138,445",1.43%,"1,957",171,810,−441,192,192,57.9%,0.0017%
Seychelles,"134,959",1.64%,"2,180",293,460,"1,367",193,193,43.4%,0.0016%
Grenada,"117,362",0.05%,59,345,340,−199,194,194,35.8%,0.0014%
Micronesia,"114,183",0.44%,500,163,700,"−1,121",195,195,23.8%,0.0014%
Aruba,"108,164",0.02%,17,601,180,73,196,196,45.1%,0.0013%
Tonga,"103,291",−0.43%,−451,143,720,"−2,117",197,197,26.4%,0.0012%
St. Vincent & Grenadines,"99,245",−0.68%,−679,254,390,−671,198,198,62.6%,0.0012%
Antigua and Barbuda,"94,626",0.44%,417,215,440,−2,199,199,28.6%,0.0011%
Isle of Man,"84,055",−0.07%,−63,147,570,158,200,200,57.3%,0.0010%
Andorra,"83,753",1.02%,849,178,470,751,201,201,81.6%,0.0010%
U.S. Virgin Islands,"83,400",−0.88%,−738,238,350,−360,202,202,–,0.0010%
Cayman Islands,"77,196",1.78%,"1,352",322,240,888,203,203,88.5%,0.00093%
Dominica,"65,511",−0.55%,−360,87,750,−241,204,204,85.6%,0.00079%
Bermuda,"64,459",−0.15%,−96,"1,289",50,−9,205,205,93%,0.00078%
Faeroe Islands,"56,526",0.94%,524,40,"1,396",311,206,206,39.5%,0.00068%
Greenland,"55,629",−0.21%,−116,0,"410,450",−249,207,207,91.2%,0.00067%
Turks and Caicos,"47,148",0.63%,293,50,950,151,208,208,80%,0.00057%
Saint Kitts & Nevis,"46,992",0.15%,70,181,260,11,209,209,39.8%,0.00057%
American Samoa,"45,319",−1.54%,−710,227,200,"−1,004",210,210,–,0.00055%
Sint Maarten,"44,447",1.19%,524,"1,307",34,485,211,211,99.6%,0.00054%
Northern Mariana Islands,"42,914",−1.44%,−627,93,460,−790,212,212,–,0.00052%
Gibraltar,"40,867",1.85%,741,"4,087",10,480,213,213,87.1%,0.00049%
Liechtenstein,"40,368",0.6%,240,252,160,193,214,214,14.8%,0.00049%
British Virgin Islands,"39,936",0.51%,204,266,150,105,215,215,43.9%,0.00048%
Monaco,"38,087",−0.66%,−254,"25,562",1,106,216,216,–,0.00046%
Marshall Islands,"35,075",−3.33%,"−1,207",195,180,"−1,575",217,217,–,0.00042%
San Marino,"33,605",0.1%,33,560,60,127,218,218,–,0.00040%
Caribbean Netherlands,"31,913",1.83%,575,97,328,509,219,219,64.9%,0.00038%
Saint Martin,"23,898",−4.18%,"−1,043",451,53,"−1,034",220,220,–,0.00029%
Palau,"17,614",−0.28%,−49,38,460,−22,221,221,–,0.00021%
Anguilla,"14,817",0.6%,89,165,90,33,222,222,–,0.00018%
Cook Islands,"12,826",−3.29%,−437,53,240,−419,223,223,–,0.00015%
Nauru,"12,101",0.63%,76,605,20,−111,224,224,93.8%,0.00015%
Saint Barthelemy,"11,550",1.19%,136,550,21,143,225,225,–,0.00014%
Wallis & Futuna,"11,113",−0.72%,−81,79,140,−80,226,226,–,0.00013%
Tuvalu,"9,362",−1.37%,−130,312,30,−225,227,227,89%,0.00011%
Saint Pierre & Miquelon,"5,513",−1.09%,−61,24,230,−9,228,228,–,0.000066%
Saint Helena,"5,147",−0.96%,−50,13,390,0,229,229,34.1%,0.000062%
Montserrat,"4,328",−0.71%,−31,43,100,−10,230,230,11.7%,0.000052%
Falkland Islands,"3,465",−0.12%,−4,0,"12,170",−16,231,231,68.4%,0.000042%
Tokelau,"2,691",3.18%,83,269,10,43,232,232,–,0.000032%
Niue,"1,822",0.05%,1,7,260,2,233,233,45.2%,0.000022%
Holy See,506,1%,5,"1,265",0,13,234,234,–,0.0000061%
